Table,Attribute name,Data Type,Description,Acceptable values or range,Value Definition,Units
Farmington_PFAS_Stable Isotopes_Datarelease.csv,UConn sample ID,character,Sample ID internal to UCONN,"Rat_BF1_421, Rat_BF2_421, Rat_BF3_421, Rat_BF1_J23, Rat_BF2_J23, Rat_BF3_J23, Burr_BF1_427, Burr_BF2_427, Burr_BF3_427, Burr_BF1_J23, Burr_BF2_J23, Burr_BF3_J23, HB_BF1_603, HB_BF2_603, HB_BF3_603, RB_BF2_602, RB_BF1_602, RB_BF3_602, RB_BF2_end, RB_BF3_end, HB_BF1_end, HB_BF3_end, Peq_BF1_J23, Peq_BF2_J23, Peq_BF3_J23, Peq_BF1_424, Peq_BF2_424, Peq_BF3_424, RB_Odo, RB_E_eph, Peq_Eph_L, Peq_Plec_L, Peq_Trich_L, Peq_Eph_A, Peq_Pleco_A, Peq_Trich_A, Peq_Dipt_A, Peq_Dipt_L-1, Peq_Dipt_L-2, Peq_Odo_L, Rat_Eph_L, Rat_Eph_L-2, Rat_Odo_L, Rat_Dipt_L-1, Rat_Dipt_L-2, Rat_Trich_A, Rat_Trich_L, Rat_Pleco_L, Rat_Dipt_A, Rat_Pleco_A-1, Rat_Pleco_A-2, Rat_Eph_A, HB_Plec, HB_Ephemero, HB_Odonata3, HB_Trichoptera, HB_E_Dip, HB_Mega, HB_E_Trich, Burr_Plec_A, Burr_Dip_L-1, Burr_Dip_L-2, Burr_Odo_L, Burr_Dipt_A, Burr_Eph_A, Burr_Trich_A-1, Burr_Trich_A-2, Burr _Eph_L, HB_tetragnathid, Peq spider small - 1, Peq spider small - 2, Peq spider large, Rat spider small, Burr spider small, Rat spider large-1, Rat spider large-2, Burr spider large-1, Burr spider large-2, Burr pleco L-1, Burr pleco L-2, Burr Trich L-1, Burr Trich L-2",,
Farmington_PFAS_Stable Isotopes_Datarelease.csv,USGS sample ID,character,Sample ID internal to USGS isotope lab,seven character code,,
Farmington_PFAS_Stable Isotopes_Datarelease.csv,Site,character,Name of sampling site,Hop Brook,,
,,,,Russel Brook,,
,,,,Pequabuck Brook,,
,,,,Ratlum Brook,,
,,,,Burr Pond Brook,,
Farmington_PFAS_Stable Isotopes_Datarelease.csv,Year,numeric,Year of sample collection in the field,2022,,year
,,,,2023,,year
Farmington_PFAS_Stable Isotopes_Datarelease.csv,Sample type,character,Type of sample,Biofilm,,
,,,,Larval Odonata,,
,,,,EmergentEphemeroptera,,
,,,,LarvalEphemeroptera,,
,,,,Larval Plecoptera,,
,,,,Larval Trichoptera,,
,,,,Emergent Plecoptera,,
,,,,Emergent Trichoptera,,
,,,,Emergent Diptera,,
,,,,Larval Diptera,,
,,,,Emergent Odonata,,
,,,,Larval Megaloptera,,
,,,,Spider,,
Farmington_PFAS_Stable Isotopes_Datarelease.csv,Media,character,General sample type,Biofilm,,
,,,,Invertebrate,,
Farmington_PFAS_Stable Isotopes_Datarelease.csv,Environment,character,Aquatic or Terrestrial origin of sample,Aquatic,,
,,,,Terrestrial,,
Farmington_PFAS_Stable Isotopes_Datarelease.csv,Family,character,Taxonomic classification,NA,,
,,,,Odonata,,
,,,,Ephemeroptera,,
,,,,Plecoptera,,
,,,,Trichoptera,,
,,,,Diptera,,
,,,,Megaloptera,,
,,,,Spider,,
Farmington_PFAS_Stable Isotopes_Datarelease.csv,Lifestage,character,Adult or larvale life stage,NA,,
,,,,Larval,,
,,,,Adult,,
Farmington_PFAS_Stable Isotopes_Datarelease.csv,perN,numeric,Percent nitrogen,positive numbers,,percent
Farmington_PFAS_Stable Isotopes_Datarelease.csv,perC,numeric,Percent carbon,positive numbers,,percent
Farmington_PFAS_Stable Isotopes_Datarelease.csv,d15N,numeric,per mill 15N,positive or negative numbers,,per mill
Farmington_PFAS_Stable Isotopes_Datarelease.csv,d13C,numeric,per mill 13C,positive or negative numbers,,per mill
Farmington_PFAS_Survey_Datarelease.csv,COC,numeric,Chain of custody number associated with analytical instrument run,Six number code,Six number code,
Farmington_PFAS_Survey_Datarelease.csv,CESE.ID,character,Sample identification assigned by analytical lab,Nine number code,Nine number code,
Farmington_PFAS_Survey_Datarelease.csv,Field.ID,character,Sample identification assigned in field by research staff,"FB1, HOP2.1, HOP2.2, HOP2.3, HOP3.1, HOP3.2, HOP3.3, SAND2.1, SAND2.2, SAND2.3, SAND3.1, SAND3.2, SAND3.3, FREE2.1, FREE2.2, FREE2.3, FREE3.1, FREE3.2, FREE3.3, FB2, BIRG2.1, BIRG2.2, BIRG2.3, BIRG3.1, BIRG3.2, BIRG3.3, PAGE2.1, PAGE2.2, PAGE2.3, PAGE3.1, PAGE3.2, PAGE3.3, CHILD2.1, CHILD2.2, CHILD2.3, CHILD3.1, CHILD3.2, CHILD3.3, FB3, ALSO1, ALSO5, ALSO8, ALSO11, ALSO16, ALSO19, ALSO1.2, ALSO2.2, ALSO3.2, ALSO4.2, ALSO5.2, ALSO7.2, ALSO8.2, ALSO10.2, ALSO11.2, ALSO14.2, ALSO16.2, ALSO19.2, BUNN1.1, BUNN1.2, BUNN1.3, BUNN1.4, BUNN1.5, BUNN1.6, BURL1, BURL2, BURL3, BURL4, BURL5, BURL6, BURL7, HAWL1.1, HAWL1.2, HAWL1.3, HAWL1.4, HAWL1.5, AVON1, AVON2, MUNN1.1, PEQU1.1, PEQU1.2, PEQU1.3, PEQU1.4, PEQU1.5, PEQU1.6, PEQU1.7, PEQU1.8, POWD1.1, POWD1.2, POWD1.3, POWD1.4, QUAR1.1, QUAR1.2, QUAR1.3, QUAR1.4, QUAR1.5, QUAR1.6, QUAR1.7, RAIN26, RAIN28, RAIN30, RAIN31, RAIN35, RAIN38, RAIN26.2, RAIN27.2, RAIN28.2, RAIN30.2, RAIN31.2, RAIN33.2, RAIN35.2, RAIN38.2, RATL1.1, RATL1.2, RATL1.3, RATL1.4, RATL1.5, ROAR1.1, RUSS1.1, RUSS1.2, STRA1.1, STRA1.2, STRA1.3, STRA1.4, STRA1.5, STRA1.6, STRA4.1, STRA4.2, STRA4.3, STRA4.4, STRA4.5, STRA4.6, THOM1.1, THOM1.2, THOM1.3, THOM1.4, THOM1.5, WSAL1.1, WSAL1.2, WSAL1.3, WSAL1.4, WSAL1.5, BUNN3.1, HAWL3.1, MUNN3.1, PEQU2.1, POWD3.1, QUAR2.1, RATL3.1, ROAR3.1, RUSS3.1, STRA3.1, STRA6.1, THOM3.1, WSAL3.1",,
Farmington_PFAS_Survey_Datarelease.csv,Site,character,Name of sampling site,Field blank,,
,,,,Hop Brook,,
,,,,Sandy Brook,,
,,,,Freeman Hill Brook,,
,,,,Birge Pond Brook,,
,,,,Page Park Pond,,
,,,,Chidsey Brook,,
,,,,Alsop Meadows,,
,,,,Bunnell Brook,,
,,,,Hawley Brook,,
,,,,Munnisunk Brook,,
,,,,Pequabuck River,,
,,,,Powder Mill Brook,,
,,,,Quarry Brook,,
,,,,River Island,,
,,,,Ratlum Brook,,
,,,,Roaring Brook,,
,,,,Russell Brook,,
,,,,Stratton Brook A,,
,,,,Stratton Brook B,,
,,,,Thomspon Brook,,
,,,,West Branch Salmon Brook,,
Farmington_PFAS_Survey_Datarelease.csv,Sample.Type,character,Type of sample,Field blank,,
,,,,Water,,
,,,,Groundwater,,
Farmington_PFAS_Survey_Datarelease.csv,Collected,character,Date of sample collection in the field,10/1/20 to 4/5/22,m/dd/yyyy,m/dd/yyyy
Farmington_PFAS_Survey_Datarelease.csv,Received,character,Date sample received by the analytical lab,10/6/20 to 4/14/22,m/dd/yyyy,m/dd/yyyy
Farmington_PFAS_Survey_Datarelease.csv,Prep.Date,character,Date sample prepared for analysis,10/16/20 to 4/18/22,m/dd/yyyy,m/dd/yyyy
Farmington_PFAS_Survey_Datarelease.csv,Analysis.Date,character,Date sample analyzed,10/23/20 to 4/22/22,m/dd/yyyy,m/dd/yyyy
Farmington_PFAS_Survey_Datarelease.csv,Units,character,Concentration units,ng/mL,nanogram per milliliter,ng/mL
Farmington_PFAS_Survey_Datarelease.csv,Compound,character,Name of PFAS compound,PFBS,PFAS congener,
,,,,PFHxA,PFAS congener,
,,,,PFHpA,PFAS congener,
,,,,PFHxS,PFAS congener,
,,,,PFOA,PFAS congener,
,,,,PFNA,PFAS congener,
,,,,PFOS,PFAS congener,
,,,,PFDA,PFAS congener,
,,,,NMeFOSAA,PFAS congener,
,,,,NEtFOSAA,PFAS congener,
,,,,PFUnA,PFAS congener,
,,,,PFDoA,PFAS congener,
,,,,PFTrDA,PFAS congener,
,,,,PFTA,PFAS congener,
Farmington_PFAS_Survey_Datarelease.csv,Conc,character,Concentration measured,"ND, NM, na, numeric","ND = not detected, NM = not measured, na = not available due to sample damage",ppb
Farmington_PFAS_Survey_Datarelease.csv,RL,numeric,Analytical reporting limit,positive numbers,,ppb
SiteLocations.csv,Latitude,numeric,NA,positive or negative numbers,,degrees
SiteLocations.csv,Longitude,numeric,NA,positive or negative numbers,,degrees
SiteLocations.csv,Site Type,character,NA,Stream,,
,,,,Mainstem,,
SiteLocations.csv,Site name,character,NA,Thompson Brook,,
,,,,Russell Brook,,
,,,,Roaring Brook,,
,,,,Munnisunk Brook,,
,,,,Stratton Brook A,,
,,,,Stratton Brook B,,
,,,,Hawley Brook,,
,,,,Bunnell Brook,,
,,,,Powder Mill Brook,,
,,,,Quarry Brook,,
,,,,Ratlum Brook,,
,,,,West Branch Salmon Brook,,
,,,,Sandy Brook,,
,,,,Freeman Hill Brook,,
,,,,Birge Pond Brook,,
,,,,Page Park Pond,,
,,,,Chidsey Brook,,
,,,,Pequabuck River,,
,,,,Hop Brook,,
,,,,Burr Pond Brook,,
,,,,Farmington River at River Island,,
,,,,Farmington River at Alsop Meadows,,
SiteLocations.csv,"Town in CT, USA",character,NA,Avon,,
,,,,Simsbury,,
,,,,Burlington,,
,,,,Suffield,,
,,,,Canton,,
,,,,Granby,,
,,,,Colebrook,,
,,,,Bristol,,
,,,,Torrington,,
,,,,East Granby,,
