dataset,Column name,data_type,Description,value,Notes.x,Notes.y
Farmington_PFAS_FWstudy_Datarelease.csv,site,character,Name of sampling site,"Russell Brook, Hop Brook, Ratlum Brook, Pequabuck River, Burr Pond Brook, Field blank",NA,NA
Farmington_PFAS_FWstudy_Datarelease.csv,sample_type,character,Type of sample,"Biofilm, Detritus, Seston, Larval_Odonata, Emergent_Odonata, Larval_Ephemeroptera, Emergent_Ephemeroptera, Larval_Trichoptera, Emergent_Trichoptera, Larval_Plecoptera, Larval_Megaloptera, Larval_Diptera, Emergent_Diptera, Tetragnathidae, Sediment, Emergent_Plecoptera, Water, Field blank",NA,NA
Farmington_PFAS_FWstudy_Datarelease.csv,collected,character,Date of sample collection in the field,"6/2/22, 6/3/22, 6/30/22, 4/21/23, 4/24/23, 4/27/23, 7/25/23, 7/24/23, 7/26/23, Seston - April, 23-Apr, Seston - July, 23-Jul, April-July 2023",NA,NA
Farmington_PFAS_FWstudy_Datarelease.csv,received,character,Date sample received by the analytical lab,"8/29/22, 8/31/23, 12/18/23, 1/12/24, 6/24/22, 7/1/22, 6/2/22, 6/3/22, 4/21/23, 4/24/23, 4/27/23, 7/26/23",NA,NA
Farmington_PFAS_FWstudy_Datarelease.csv,prep_date,character,Date sample prepared for analysis,"10/13/22, 10/19/23, 1/4/24, 1/17/24, 9/28/22, 7/5/22, 6/15/22, 5/4/23, 7/28/23",NA,NA
Farmington_PFAS_FWstudy_Datarelease.csv,analysis_date,character,Date sample analyzed,"10/14/22, 10/24/23, 1/8/24, 1/18/24, 10/6/22, 7/7/22, 6/20/22, 5/5/23, 7/31/23",NA,NA
Farmington_PFAS_FWstudy_Datarelease.csv,units,character,Concentration units,"ng/g ww, ng/mL",nanogram per gram wet weight or nanogram per milliliter,nanogram per gram wet weight or nanogram per milliliter
Farmington_PFAS_FWstudy_Datarelease.csv,compound,character,Name of PFAS compound,"PFBA, PFPeA, PFBS, PFHxA, X4.2FTS, PFPeS, GenX, ADONA, PFHpA, PFHxS, PFOA, PFHpS, X6.2FTS, X9Cl.PF3ONS, PFNA, PFOS, PFNS, X8.2FTS, PFDA, NMeFOSAA, PFOSA, PFDS, NEtFOSAA, X11CL.PF3OUdS, PFUnA, PFDoA, PFTrDA, PFTA",NA,NA
Farmington_PFAS_FWstudy_Datarelease.csv,conc,character,Concentration measured,"ND, 11.19, 3.56, 12.24, 5.52, 6.38, 12.41, 13.52, 11.48, 6.11, 1.28, 0.67, 10.86, 5.43, 11.86, 13.99, 6.84, 12.91, 17.11, 9.31, 11.56, 1.01, 0.12, 12.17, 4.97, 1.54, 5.79, 0.74, 19.68, 9.52, 3.48, 2.9, 3.75, 5.48, 3.74, 1.9, 3.2, 1.09, 1.56, 3.16, 24.83, 14.66, 17.16, 31.36, 35.67, 8.91, 6.61, 12.52, 15.3, 4.01, 20.85, 10.76, 9.17, 6.13, 1.66, 3.89, 1.98, 0.94, 30.4, 31.8, 0.48, 35.26, 25.73, 6.07, 41.14, 33.05, 0.51, 0.68, 14.91, 27.28, 3.22, 1.95, 19.06, 20.04, 62.83, 3.31, 9.14, 0.58, 12.82, 15.54, 4.27, 13.69, 11.74, 6.56, 2.41, 52.09, 86.6, 6.9, 0.19, 67.92, 96.86, 12.58, 1.96, 78.27, 161.11, 28.7, 3.49, 13.63, 38.37, 98.93, 1.57, 3.76, 12.86, 45.79, 110.7, 7.84, 0.91, 3.04, 18.53, 31.89, 89.61, 8.2, 4.86, 0.55, 4.78, 11.04, 25.76, 2.39, 1, 12.02, 38.86, 4.81, 0.39, 10.58, 4.12, 0.59, 30.97, 5.98, 0.11, 8.17, 0.06, 4.96, 6.96, 4.06, 1.33, 0.38, 2.67, 2.89, 2.51, 0.4, 2.78, 2.18, 2.58, 2.77, 2.17, 1.92, 2.68, 4.02, 2.3, 2.52, 3.3, 2.72, 1.99, 0.36, 3.38, 2.19, 2.79, 1.39, 2.57, 1.97, 2.76, 5.33, 3.95, 2.2, 2.8, 4.2, 1.2, 1.6, 1.8, 1.38, 1.59, 1.58, 1.79, 1.19, 1.78, 0.95, 0.82, 2.95, 1.16, 6.95, 7.48, 3.63, 2.34, 1.82, 2.1, 1.17, 1.91, 3.02, 3.59, 3.99, 2.62, 3.7, 2.83, 3.07, 2.21, 2.4, 1.61, 2.28, 2.6, 2.22, 2.42, 1.32, 1.25, 2.53, 1.42, 1.89, 20.11, 16.62, 69.44, 26.23, 4.46, 5.45, 7.75, 22.51, 7.08, 2.48, 1.86, 2.37, 2.08, 2.25, 3.01, 3.81, 3.41, 3.52, 7.03, 9.19, 7.18, 49.05, 7.2, 6.79, 21.3, 5.56, 4.71, 4.62, 4.53, 5, 6.4, 6.55, 4.95, 10.74, 7.02, 3.12, 11.89, 7.55, 3.55, 2.04, 2.14, 1.45, 1.36, 2.06, 1.65, 1.43, 1.48, 3, 10.65, 4.4, 3.15, 3.71, 9.8, 4.94, 2.24, 18.38, 4.79, 6.59, 11.51, 22.52, 117.02, 19.15, 44.27, 18.45, 11.49, 8.43, 59.69, 15.96, 20.75, 21.41, 4.07, 9.95, 56.23, 132.69, 21.55, 97.9, 15.39, 10.55, 3.53, 3.06, 8.12, 4.41, 16.73, 58.77, 6.51, 23.87, 7.58, 4.89, 2.99, 4.3, 2.31, 3.78, 23.66, 73.8, 16.16, 38.84, 8.19, 2.12, 4.99, 3.84, 2.43, 1.93, 2.47, 14.57, 1.73, 4.18, 6.49, 45.89, 8.14, 9.58, 4.34, 6.46, 4.98, 38.57, 8.31, 5.32, 2.7, 1.87, 2.29, 4.29, 2.15, 0.8, 7.91, 9.23, 11.9, 15.8, 12.1, 13.1, 6.06, 4.04, 3.58, 3.33, 17.6, 4.77, 5.37, 7.45, 7.7, 7.73, 3.57, 4.16, 0.18, 17.64, 2.09, 2.69, 7.72, 3.37, 16.6, 3.93, 3.65, 2.81, 13.2, 2.91, 2.02, 4.73, 13.5, 6.09, 8.45, 20.2, 5.23, 10.8, 6.27, 4.88, 3.98, 2.56, 13.7, 4.55, 7.11, 17.1, 4.36, 5.81, 0.56, 0.49, 0.45, 0.62, 0.21, 0.04, 0.01, 8.5, 0.22, 0.0067, 0.0091, 0.0064, 0.0036, 0.0099, 0.0066, 0.0361, 0.009, 0.0144, 0.0071, 0.0092, 0.0037, 0.0079, 0.0302, 0.0088, 0.0139, 0.0094, 0.0109, 0.0081, 0.0038, 0.0108, 0.0032, 0.0104, 0.0407, 0.0141, 0.0194, 0.0076, 0.004, 0.0028, 0.0045, 0.0039, 0.0031, 0.003, 0.0029, 0.008, 0.0105, 0.0084, 0.0518, 0.0191, 0.007, 0.0424, 0.0217, 0.0056, 0.0048, 0.0102, 0.0075, 0.0477, 0.0142, 0.0184, 0.0043, 0.0044, 0.0024, 0.0017, 0.0042, 0.0055, 0.0046, 0.0016, 0.0041, 0.0026, 0.0053, 0.0078, 0.002, 0.0062, 0.0021, 0.0093, 0.0069, 0.0018, 0.0068, 0.0061, 0.0012, 0.0011, 0.0014, 0.0015, 0.0019, 0.0013, 0.0049, 0.0051, 0.0022, 0.0073, 0.0035, 0.0052, 0.0033, 0.0025, 0.0072, 0.0023","ND = not detected, NM = not measured, na = not available due to sample damage","ND = not detected, NM = not measured, na = not available due to sample damage"
Farmington_PFAS_FWstudy_Datarelease.csv,rl,numeric,Analytical reporting limit,"0.27, 0.42, 0.49, 2.05, 0.21, 1.7, 0.23, 0.2, 0.31, 2.69, 0.91, 0.35, 0.72, 2.25, 0.69, 5.81, 0.36, 0.75, 2.17, 0.38, 1.1, 1.07, 2, 0.001, 0.0014, 0.0021, 0.0026, 0.0068, 0.0018, 0.0032, 0.009, 0.0036, 0.0023, 0.0024, 0.0075, 0.0046, 0.0025, 0.0028, 0.003, 0.0022, 0.0016, 0.0044, 0.0048, 0.025, 0.0031, 0.0269, 0.0072, 0.0225",NA,NA
Farmington_PFAS_FWstudy_Datarelease.csv,brl,character,Below reporting limit,"no, yes","Whether the concentration is below the reporting limit. Yes indicates the concentration is above the method detection limit, but below the reporting limit","Whether the concentration is below the reporting limit. Yes indicates the concentration is above the method detection limit, but below the reporting limit"
Farmington_PFAS_Stable Isotopes_Datarelease.csv,u_conn_sample_id,character,Sample ID internal to UCONN,"Rat_BF1_421, Rat_BF2_421, Rat_BF3_421, Rat_BF1_J23, Rat_BF2_J23, Rat_BF3_J23, Burr_BF1_427, Burr_BF2_427, Burr_BF3_427, Burr_BF1_J23, Burr_BF2_J23, Burr_BF3_J23, HB_BF1_603, HB_BF2_603, RB_BF2_end, RB_BF3_end, HB_BF1_end, Peq_BF1_J23, Peq_BF2_J23, Peq_BF1_424, Peq_BF2_424, Peq_BF3_424, RB_Odo, RB_E_eph, Peq_Eph_L, Peq_Plec_L, Peq_Trich_L, Peq_Eph_A, Peq_Pleco_A, Peq_Trich_A, Peq_Dipt_A, Peq_Dipt_L-1, Peq_Dipt_L-2, Peq_Odo_L, Rat_Eph_L, Rat_Eph_L-2, Rat_Odo_L, Rat_Dipt_L-1, Rat_Trich_A, Rat_Trich_L, Rat_Pleco_L, Rat_Dipt_A, Rat_Pleco_A-1, Rat_Pleco_A-2, Rat_Eph_A, HB_Plec, HB_Ephemero, HB_Odonata3, HB_Trichoptera, HB_E_Dip, HB_Mega, HB_E_Trich, Burr_Plec_A, Burr_Dip_L-1, Burr_Dip_L-2, Burr_Odo_L, Burr_Dipt_A, Burr_Eph_A, Burr_Trich_A-1, Burr_Trich_A-2, Burr _Eph_L, HB_tetragnathid, Peq spider small - 1, Peq spider small - 2, Peq spider large, Rat spider small, Burr spider small, Rat spider large-1, Rat spider large-2, Burr spider large-1, Burr spider large-2, Burr pleco L-1, Burr pleco L-2, Burr Trich L-1, Burr Trich L-2",format: site_sampletype_number,format: site_sampletype_number
Farmington_PFAS_Stable Isotopes_Datarelease.csv,usgs_sample_id,character,Sample ID internal to USGS isotope lab,"PFAS019, PFAS020, PFAS021, PFAS022, PFAS023, PFAS024, PFAS025, PFAS026, PFAS027, PFAS028, PFAS029, PFAS030, PFAS031, PFAS032, PFAS037, PFAS038, PFAS039, PFAS041, PFAS042, PFAS050, PFAS051, PFAS052, PFAS065, PFAS066, PFAS067, PFAS068, PFAS069, PFAS070, PFAS071, PFAS072, PFAS073, PFAS074, PFAS075, PFAS076, PFAS077, PFAS078, PFAS079, PFAS080, PFAS082, PFAS083, PFAS084, PFAS085, PFAS086, PFAS087, PFAS088, PFAS089, PFAS090, PFAS091, PFAS092, PFAS093, PFAS094, PFAS095, PFAS096, PFAS097, PFAS098, PFAS099, PFAS100, PFAS101, PFAS102, PFAS103, PFAS104, PFAS105, PFAS106, PFAS110, PFAS111, PFAS112, PFAS113, PFAS114, PFAS115, PFAS116, PFAS117, PFAS118, PFAS119, PFAS120, PFAS121, PFAS122",NA,NA
Farmington_PFAS_Stable Isotopes_Datarelease.csv,site,character,Name of sampling site,"Ratlum Brook, Burr Pond Brook, Hop Brook, Russell Brook, Pequabuck River",NA,NA
Farmington_PFAS_Stable Isotopes_Datarelease.csv,year,numeric,Year of sample collection in the field,"2023, 2022",NA,NA
Farmington_PFAS_Stable Isotopes_Datarelease.csv,sample_type,character,Type of sample,"Biofilm, Larval Odonata, Emergent Ephemeroptera, Larval Ephemeroptera, Larval Plecoptera, Larval Trichoptera, Emergent Plecoptera, Emergent Trichoptera, Emergent Diptera, Larval Diptera, Emergent Odonata, Larval Megaloptera, Spider",Includes life stage and taxon for invertebrates,Includes life stage and taxon for invertebrates
Farmington_PFAS_Stable Isotopes_Datarelease.csv,media,character,General sample type,"Biofilm, Invertebrate","e.g. Invertebrates/Detritus/Sediment, but not particular taxa or life-stages of invertebrates","e.g. Invertebrates/Detritus/Sediment, but not particular taxa or life-stages of invertebrates"
Farmington_PFAS_Stable Isotopes_Datarelease.csv,environment,character,Aquatic or Terrestrial origin of sample,"Aquatic, Terrestrial",NA,NA
Farmington_PFAS_Stable Isotopes_Datarelease.csv,family,character,Taxonomic classification,"NA, Odonata, Ephemeroptera, Plecoptera, Trichoptera, Diptera, Megaloptera, Spider","This is usually just id'd to order, not family","This is usually just id'd to order, not family"
Farmington_PFAS_Stable Isotopes_Datarelease.csv,lifestage,character,Adult or larvale life stage,"NA, Larval, Adult",NA,NA
Farmington_PFAS_Stable Isotopes_Datarelease.csv,per_n,numeric,Percent nitrogen,"1.4, 3.3, 1.9, 1.8, 1.7, 1.6, 0.8, 0.6, 0.9, 0.7, 0.5, 1.3, 0.1, 2.5, 2.8, 1.1, 9.9, 11.5, 5.2, 10.3, 9.3, 9.7, 10.2, 10, 9, 11, 9.2, 8.9, 9.6, 10.9, 11.1, 9.8, 12.2, 10.6, 11.9, 11.8, 8.6, 10.1, 12.3, 9.4, 9.1, 11.4, 10.5, 11.6, 10.7, 13.3, 13.4",NA,NA
Farmington_PFAS_Stable Isotopes_Datarelease.csv,per_c,numeric,Percent carbon,"11.4, 24.7, 16.1, 13.5, 14.9, 14.1, 12.3, 5.9, 5.5, 5.2, 6.9, 10.7, 8.7, 6.4, 5.8, 8.2, 1.3, 4.1, 5.3, 17.6, 19.3, 7.5, 50.5, 54.5, 36, 50.6, 52.2, 54.1, 53.8, 48.1, 42.8, 48.4, 38.9, 45.6, 47.5, 47.1, 49.6, 53.3, 47.2, 47.9, 48.7, 46.2, 48.2, 54.6, 49.2, 49.8, 50.7, 46.1, 46.4, 44.1, 51.1, 47.8, 49.3, 49.4, 50, 54.9, 43.4, 51.6, 51.8, 43.8, 47.7, 50.2, 50.4, 46.9, 47, 52, 51.4, 52.9",NA,NA
Farmington_PFAS_Stable Isotopes_Datarelease.csv,d15n,numeric,per mill 15N,"3.8, 3.6, 3.5, 4.4, 3.4, 4.6, 5.2, 4.2, 4, 5.3, 3.1, 3.9, 5.7, 4.7, 8.6, 8.8, 9.4, 9.2, 9.9, 6.8, 8.4, 11.1, 14.4, 11.7, 12.5, 13.5, 15.5, 13.2, 10.6, 10.4, 4.5, 4.9, 1.2, 8.2, 5.6, 5, 6, 6.3, 8.9, 9, 7.1, 6.9, 7.3, 1.3, 1.6, 7.4, 3, 6.5, 8.3, 7.6, 12.6, 12.8, 6.7, 6.2, 6.1, 6.4, 5.9, 4.1, 0.6, 0.9",NA,NA
Farmington_PFAS_Stable Isotopes_Datarelease.csv,d13c,numeric,per mill 13C,"-27.2, -28.5, -28.7, -26.7, -25.4, -25.3, -24.2, -24.9, -24, -24.8, -22, -33.1, -28.6, -29.8, -29, -22.8, -30, -35.9, -28, -27.6, -26.4, -26, -24.6, -25.8, -25.2, -28.1, -27.9, -25.9, -27.4, -25.5, -25.7, -23.6, -27, -30.8, -26.8, -27.1, -27.8, -26.9, -28.8, -24.5, -29.4, -27.3, -26.3, -27.7",NA,NA
